Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.47,0.031393153,-0.048339378,0.028639531,-0.002526293,-0.024218843,-0.022083312,-0.016750307,0.010594492,-0.012219169,0.016252575,0.030040799,-0.011097186,0.005860074,0.002140861,0.00461823,0.012294332,0.012531048,-0.017095813,-0.008243706,-0.060899829,-0.014185359,0.019621638,0.019624433,0.01533089,-0.004202409,0.056178237,-0.042459112,0.023393111,-0.008339685,0.024584093,-0.003058231,-0.002330588
0.48,0.032629115,0.002747048,0.034769273,-0.002535316,-0.007067964,0.057048768,0.018474608,0.040257578,0.005984566,-0.004514636,0.019985257,-0.000862353,0.020752652,0.011574607,-0.008695064,0.014758627,-0.014221424,-0.028984317,-0.011921075,-0.036767101,-0.045830181,0.018370417,0.003572187,0.023723224,-0.012610002,0.072550918,0.020174402,0.006242232,-0.003212732,-0.003190718,-0.003065738,-0.002338844
0.49,0.011739833,0.007874001,0.018830514,-0.002536819,0.030956938,0.050701112,0.048664122,-0.002283926,-0.001293876,-0.000852527,0.001133023,-0.021335833,-0.006530063,0.016968589,-0.037732539,0.022128622,-0.016651387,-0.002830753,0.009013984,0.00133791,-0.029373577,0.005873469,0.014680586,0.034511188,-0.043821855,0.005801345,0.049082178,-0.005659624,0.013480383,-0.006978712,-0.003065738,-0.002339595
0.5,-0.000543492,0.009155739,0.029865003,-0.002527045,0.00031729,0.012371034,0.023510008,-0.051234122,-0.036465385,0.018693982,0.022495328,-0.054599993,-0.022628085,0.01292501,-0.0316748,0.008616964,-0.004490132,0.012622586,0.031215522,-0.017714595,0.019990513,0.000868586,0.060640058,0.021319964,-0.01981215,-0.004277085,0.031011957,0.037858443,0.037894446,0.01069478,-0.003054478,-0.002329087
0.51,0.005590541,0.000183571,0.009021974,-0.002548097,0.00031729,0.002147645,0.014705687,-0.025477286,-0.027966239,-0.016721668,0.03631979,-0.045643084,0.002152188,-0.020777841,0.002199712,-0.025799234,0.000369793,-0.028984317,-0.01562896,-0.026605701,0.013663838,-0.030381414,0.053193769,-0.000255963,0.036622481,0.042315628,0.020174402,0.020768599,0.037894446,0.030897417,-0.003065738,-0.002314075
0.52,0.026479823,-0.003600608,0.010248399,-0.002561631,0.017468169,-0.027210265,-0.011707277,-0.016444082,-0.023113944,-0.049695911,-0.003894748,-0.02773308,0.035599454,-0.009993691,0.003405156,-0.011043985,-0.006923908,-0.053949604,-0.032886651,-0.02025423,0.004802296,-0.017884466,0.009736738,0.006938556,0.006608443,0.010836746,0.03342666,-0.033308549,-0.014778894,0.032156267,-0.003078499,-0.002314825
0.53,0.003133876,-0.008727561,0.024961209,-0.00253306,-0.016864107,-0.019550353,-0.024295778,-0.013819571,-0.052227714,0.001588879,-0.045368137,-0.0072596,0.021973355,0.038533072,-0.007489619,-0.00859495,-0.043400044,-0.012340793,0.022579048,-0.029145335,0.025054524,-0.017884466,-0.00515584,0.01772652,-0.047422929,-0.006787156,0.03342666,-0.002974077,-0.026345056,0.029634752,-0.003066489,-0.002329087
0.54,-0.036172765,-0.017638694,-0.006916308,-0.002525541,0.011334135,0.017497987,0.038600951,0.020970468,-0.043743827,0.005266247,-0.036563815,-0.005981677,-0.020140903,0.039883475,0.013086858,-0.019657572,-0.066505665,0.030454388,0.013957832,-0.008823489,0.026321003,-0.027878972,0.01840373,0.000941852,-0.015005632,0.039805557,-0.018369299,-0.022749467,0.013480383,0.035944262,-0.003064987,-0.002340345
0.55,-0.021432775,0.015564431,-0.010594153,-0.002542834,0.048077299,0.011089296,0.024768858,0.00809205,-0.006146171,-0.050916614,-0.006404819,-0.039249651,-0.010237949,0.023709159,0.027605595,0.015986959,-0.027595753,0.030454388,-0.024250176,0.019120122,0.028852055,0.020872859,0.033357344,-0.007450482,0.011407332,0.033503677,-0.013551336,-0.091291948,-0.01609115,0.008173266,-0.003069491,-0.002337343
0.56,-0.005456823,0.025757302,0.015152669,-0.00253306,-0.008288667,-0.016986876,-0.04190442,-0.022852774,-0.006146171,-0.02526659,0.013698636,0.000419386,0.020752652,0.00618444,-0.006268916,0.028270285,0.000369793,-0.004020938,0.011485908,0.005148793,0.003537724,0.002119807,0.014680586,-0.003849408,-0.031820817,-0.015606736,0.026197809,-0.037275835,-0.035347742,0.008173266,-0.003061984,-0.002325334
