Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,IW4-0626-0-CHAN-1,IW4-0626-0-CHAN-2,IW4-0626-0-CHAN-3,IW4-0626-0-CHAN-4,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.53,0.017122904,0.002454815,0.035555655,-0.002520278,0.020330487,-0.016344013,0.020878185,0.049107407,,,,,0.035187906,-0.011133849,0.044112191,0.025559781,-0.002310181,0.002340023,0.041676331,0.017752867,0.004275322,-0.004225276,0.025673265,-0.006341142,-0.005899071,-0.026234103,0.002111449,-0.007118168,0.009246122,0.006972328,-0.003061984,-0.002342597
0.54,-0.006223043,-0.06010622,0.024521167,-0.002530053,0.031408368,-0.020189227,0.022137035,0.005284165,,,,,-0.020567709,0.038739503,-0.023644462,0.026788114,0.024438477,-0.001224811,0.015797424,0.039345961,-0.019776344,-0.019239925,0.003334398,0.008047896,-0.004708885,-0.026234103,-0.028001771,-0.007118168,0.027251493,-0.024586663,-0.003066489,-0.002341847
0.55,0.009752909,-0.032030048,-0.009808248,-0.002531556,-0.01146883,-0.022722186,-0.011829029,-0.023097183,,,,,-0.016844564,0.037392915,-0.010338797,0.020646451,-0.005957031,-0.017868335,-0.024897766,-0.016541261,-0.033699989,0.024522283,-0.021445876,-0.000344438,-0.003503441,0.002734708,-0.017164216,-0.021644535,0.018248807,-0.027111992,-0.003076247,-0.002334341
0.56,0.019579569,-0.002672138,0.022068793,-0.002527045,-0.018823566,0.001508771,-0.039500843,0.002720688,,,,,0.020295328,0.009084047,0.051375375,0.012040494,-0.012037659,-0.013113315,-0.007640076,-0.025432367,-0.028635979,0.000779607,-0.025230056,-0.003930253,0.028913856,0.03799014,0.027402892,-0.004493656,0.013121854,0.029692665,-0.003078499,-0.002339595
0.57,-0.014813741,-0.039720477,0.034329707,-0.002527797,0.009344159,0.034711896,-0.021892201,0.031041001,,,,,-0.021803671,0.006387056,0.041693673,0.021874784,0.019578552,0.013040249,0.021946716,-0.008920449,-0.052685738,-0.029234431,0.007057542,-0.018319291,0.025312782,0.016582059,0.006925597,-0.000526371,-0.012573946,0.030955329,-0.00307925,-0.002349353
0.58,0.014666239,-0.007738056,0.017165,-0.002525541,0.013006268,0.010450421,0.003261913,0.010411118,,,,,-0.051543051,0.009084047,0.007803903,0.015733121,-0.026628876,-0.008358295,0.021946716,-0.014001626,-0.037495613,0.012010075,0.025673265,-0.02551381,-0.023912071,0.015330838,-0.02077292,-0.036170902,-0.021576632,-0.019536004,-0.003073995,-0.002341096
0.59,0.060122172,0.059949933,0.0649808,-0.002522534,0.006872235,-0.011247577,-0.0093037,-0.021815444,,,,,-0.003233725,-0.019221007,0.006598458,0.002206205,-0.030275726,-0.040455158,0.020726013,0.006322127,0.016932487,0.013276555,-0.01900447,-0.013528032,-0.057527184,0.025409268,-0.001504884,-0.02951807,-0.015167941,-0.032162652,-0.003065738,-0.002335091
0.6,0.0244929,0.001173077,0.063754851,-0.002530804,0.000799237,0.02961546,-0.01056255,-0.007594253,,,,,0.015366739,-0.025965392,0.00417994,0.015733121,0.019578552,-0.027378376,0.020726013,-0.002569932,0.048577309,-0.0117326,-0.012778884,-0.005135698,-0.040727257,0.014071988,-0.006319032,-0.015052738,-0.011292208,0.015810981,-0.003063486,-0.002334341
0.61,0.013445536,-0.04863161,-0.022069162,-0.002529301,-0.012750568,0.035993634,0.029682506,-0.001185562,,,,,-0.016844564,0.01043445,-0.000657096,0.048920987,0.012281036,0.005908673,0.020726013,-0.003839273,0.02452755,-0.021742366,0.020729417,0.006857711,0.002500893,0.002734708,-0.002710328,-0.024269047,0.032378446,0.041056648,-0.00306874,-0.002328336
0.62,0.036776225,0.017835675,-0.031877225,-0.002515015,-0.005334796,-0.006151142,0.035976757,-0.007594253,,,,,0.001725382,0.01043445,0.017485604,0.04522836,0.012281036,0.007096951,-0.006404114,0.040616256,-0.047623634,-0.031736873,0.023231858,0.01883586,0.01450956,0.002734708,0.006925597,-0.021644535,0.036254179,0.009497657,-0.003073995,-0.00233284
0.63,0.013445536,0.030530987,0.020842845,-0.002515015,0.014257489,-0.020189227,-0.01434673,0.023350571,,,,,0.021546549,-0.023268401,0.012656198,-0.001471164,0.029302216,0.014228527,-0.038447571,0.019023162,-0.043826103,-0.006727717,0.012062425,0.012839156,0.008505226,0.035480069,-0.003911958,-0.033485355,-0.016449679,0.025908485,-0.003070992,-0.002337343
0.64,-0.009900411,-0.024339618,0.034329707,-0.002514263,-0.006616535,-0.006151142,-0.035724293,0.038731431,,,,,-0.009413534,-0.02731198,-0.00186254,-0.010077121,0.024438477,0.061778729,-0.022425842,-0.011461038,0.025792122,0.010774114,-0.040061599,-0.006341142,-0.009500145,0.022883939,-0.000295625,-0.02951807,-0.031861056,0.053679481,-0.003071743,-0.002331338
0.65,-0.006223043,-0.061387958,0.014712626,-0.002508248,-0.018823566,-0.009965839,0.005787243,-0.005030777,,,,,-0.003233725,-0.015181243,0.019911752,0.002206205,0.00133667,0.035627072,0.021946716,0.016482573,0.008072853,0.002015569,-0.050010329,-0.024315995,0.002500893,-0.018673373,-0.011140809,-0.020301761,-0.040863741,0.004446998,-0.003080751,-0.002327585
0.66,-0.023404439,-0.047349872,0.008582408,-0.002515015,0.016668378,-0.001024188,0.017109264,-0.024317886,,,,,0.021546549,-0.019221007,0.01628016,-0.022375705,-0.032709503,-0.044019993,0.035496521,0.027914267,-0.050154686,0.023271062,-0.025230056,-0.014725847,0.067335487,0.005260037,-0.037637696,-0.028175297,-0.019013155,0.008234992,-0.003073995,-0.002325334
